SKU|name|description|vintage|unit-size|price|stock|url|min-order|tax|offer-type|delivery-time|LWIN|imageurl
P484236|La Grange aux Belles 'Le Vin De Jardin' 2024 3LITER||2024|3L|124.00|0|https://www.magazzinonyc.com/s/shop?query=La%20Grange%20aux%20Belles%20'Le%20Vin%20De%20Jardin'%202024%203LITER||Inc.tax|R|Next day||
S352620|Domaine de Chassorney 'Auxey-Duresses Blanc' 2022||2022|750ml|63.00|0|https://www.magazzinonyc.com/s/shop?query=Domaine%20de%20Chassorney%20'Auxey-Duresses%20Blanc'%202022||Inc.tax|R|Next day||
T994732|Borgogno Rivata 'Barolo' DOCG 2020 Magnum||2020|1.5L Magnum|136.00|0|https://www.magazzinonyc.com/s/shop?query=Borgogno%20Rivata%20'Barolo'%20DOCG%202020%20Magnum||Inc.tax|R|Next day||
6402845|Borgogno Rivata 'Langhe Nebbiolo' 2022||2022|750ml|39.00|0|https://www.magazzinonyc.com/s/shop?query=Borgogno%20Rivata%20'Langhe%20Nebbiolo'%202022||Inc.tax|R|Next day||
298646T|Borgogno Rivata 'Langhe Nebbiolo' 2022 Magnum||2022|1.5L Magnum|79.00|0|https://www.magazzinonyc.com/s/shop?query=Borgogno%20Rivata%20'Langhe%20Nebbiolo'%202022%20Magnum||Inc.tax|R|Next day||
G629423|Borgogno Rivata 'Langhe Rosso' 2023||2023|750ml|35.00|0|https://www.magazzinonyc.com/s/shop?query=Borgogno%20Rivata%20'Langhe%20Rosso'%202023||Inc.tax|R|Next day||
818493Y|Borgogno Rivata 'Lotti Sparsi 000'||NV|750ml|39.00|0|https://www.magazzinonyc.com/s/shop?query=Borgogno%20Rivata%20'Lotti%20Sparsi%20000'||Inc.tax|R|Next day||
1986400|Domaine de Chassorney 'Pommard 1er Cru Les Pezzerolles' 2022||2022|750ml|95.00|4|https://www.magazzinonyc.com/s/shop?query=Domaine%20de%20Chassorney%20'Pommard%201er%20Cru%20Les%20Pezzerolles'%202022||Inc.tax|R|Next day||
5184996|Domaine de Chassorney 'Volnay Les Roncerets' 2022||2022|750ml|79.00|4|https://www.magazzinonyc.com/s/shop?query=Domaine%20de%20Chassorney%20'Volnay%20Les%20Roncerets'%202022||Inc.tax|R|Next day||
372924A|Frédéric Cossard ‘Artemis Ka’ 2021||2021|750ml|21.00|0|https://www.magazzinonyc.com/s/shop?query=Fr%C3%A9d%C3%A9ric%20Cossard%20%E2%80%98Artemis%20Ka%E2%80%99%202021||Inc.tax|R|Next day||
5045534|Frédéric Cossard 'Version Sud' 2022||2022|750ml|23.00|0|https://www.magazzinonyc.com/s/shop?query=Fr%C3%A9d%C3%A9ric%20Cossard%20'Version%20Sud'%202022||Inc.tax|R|Next day||
